Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~276|Field=Description~String~Description~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Source~String~Source~100|Field=Source Part Number~String~Source Part Number~100|Field=Value~String~Value~100|Field=Variant~String~Variant~100|ReportField=ProjectFileName~Master-Slave.PrjPcb|ReportField=ProjectFullPath~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.PrjPcb|ReportField=Title~Bill of Materials For Variant [EVERYTHING] of Project [Master-Slave.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~231|ReportField=ReportTime~10:38:10 AM|ReportField=ReportDate~9/4/2008|ReportField=ReportDateTime~9/4/2008 10:38:10 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~EVERYTHING|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/4/2008|ReportField=CurrentTime~10:37:33 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.SchDoc|ReportField=DocumentName~Master-Slave.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~9/4/2008|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.34|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=1200|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~NEOS Master/Slave Electronics|ReportField=DataSourceFileName~Master-Slave.PrjPcb|ReportField=DataSourceFullPath~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.PrjPcb
24|R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111|RES 32.4 OHM 1/4W 1% 1206 SMD|Panasonic - ECG|ERJ-8ENF32R4V|Digikey|P32.4FTR-ND|RES 32.4 OHM 1/4W 1% 1206 SMD|EVERYTHING
1|R129|RES 20.0K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF2002V|Digikey|P20.0KCCT-ND|RES 20.0K OHM 1/8W 1% 0805 SMD|EVERYTHING
4|U1, U4, U8, U9|64 MBit Serial SPI NOR FLASH|STMicroelectronics / Numonyx|M25P64-VMF6P|Mouser|M25P64-VMF6P|64 MBit Serial SPI NOR FLASH|EVERYTHING
1|U2|IC DSPIC MCU/DSP 144K 80TQFP|Microchip Technology|DSPIC30F6014A-30I/PT|Digikey|DSPIC30F6014A30IP-ND|IC DSPIC MCU/DSP 144K 80TQFP|EVERYTHING
1|U3|IC 3.3V CAN TXRX W/STNDBY 8-SOIC|Texas Instruments|SN65HVD230DR|Digikey|296-11654-2-ND|IC 3.3V CAN TXRX W/STNDBY 8-SOIC|EVERYTHING
1|U5|IC DAC 24BIT 192KHZ 10-TSSOP|Cirrus Logic Inc|CS4344-CZZ|Digikey|598-1051-5-ND|IC DAC 24BIT 192KHZ 10-TSSOP|EVERYTHING
2|U6, U11|IC REG SIMPLE SWITCHER TO-263-7|National Semiconductor|LM2676S-ADJ/NOPB|Digikey|LM2676S-ADJ-ND|IC REG SIMPLE SWITCHER TO-263-|EVERYTHING
1|U7|IC REG VOLT MICROPWR 3.3V TO-252|National Semiconductor|LP2950CDT-3.3/NOPB|Digikey|LP2950CDT-3.3-ND|IC REG VOLT MICROPWR 3.3V TO-252|EVERYTHING
1|U10|IC AUDIO PWR AMP 40W D 32-HLQFP|AVX Corporation|TPA3106D1VFPR|Digikey|296-22976-1-ND|TPA3106D|EVERYTHING
1|U12|OPTOCOUPLER TRANS-OUT 2CH 8-SOIC|Fairchild Optoelectronics Group|MOCD207M|Digikey|MOCD207M-ND|OPTOCOUPLER TRANS-OUT 2CH 8-SOIC|EVERYTHING
1|U13|TI Tri State Buffer Single Gate|Texas Instruments|SN74AHC1G125DBVR|Digikey|296-8744-1-ND|SN74AHC1G125DBVR|EVERYTHING
1|U14|IC DIGITAL POT 256-TAP SOT23-8|Maxim Integrated Products|MAX5401EKA+T|Digikey|MAX5401EKA+TCT-ND|MAX5401EKA+T|EVERYTHING
1|U15|IC OPAMP 1.8V 0-DRIFT SOT23-5|Texas Instruments|OPA333AIDBVT|DIGIKEY|296-19546-2-ND|OPA333|EVERYTHING
1|U16|IC USB-TO-UART BRIDGE 28MLP|Silicon Laboratories Inc|CP2102-GM|Digikey|336-1160-ND|CP2102|EVERYTHING
1|U17|IC SILICON SERIAL NUMBER 6-TSOC|Dallas Semiconductor|DS2401P+|Digikey|DS2401P+-ND|DS2401P+|EVERYTHING
1|U18|IC SINGLE SUPPLY OPAMP SOT-23-5|Texas Instruments|OPA340NA/250|Digikey|OPA340NACT-ND|OPA340NA|EVERYTHING
1|Y1|CRYSTAL 8.192MHZ 18PF FUND SMD|Abracon Corporation|ABLS-8.192MHZ-B2-T|Digikey|535-9090-2-ND|CRYSTAL 8.192MHZ 18PF FUND SMD|EVERYTHING
