"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R98","R1206","1124.232mil","-554.41mil","1124.233mil","-554.41mil","1069.232mil","-554.41mil","T","360.00","15.0 OHM 1%"
"R97","R1206","942.65mil","-826.682mil","942.65mil","-826.682mil","887.65mil","-826.682mil","T","360.00","15.0 OHM 1%"
"R96","R1206","694.762mil","-1039.782mil","694.76mil","-1039.782mil","694.762mil","-984.782mil","T","270.00","15.0 OHM 1%"
"R95","R1206","401.678mil","-1183.306mil","401.678mil","-1183.305mil","401.678mil","-1128.306mil","T","270.00","15.0 OHM 1%"
"R94","R1206","81.53mil","-1243.902mil","81.53mil","-1243.902mil","81.53mil","-1188.902mil","T","270.00","15.0 OHM 1%"
"R93","R1206","-243.222mil","-1222.752mil","-243.221mil","-1222.753mil","-243.222mil","-1167.752mil","T","270.00","15.0 OHM 1%"
"R92","R1206","-551.286mil","-1117.902mil","-551.288mil","-1117.901mil","-551.286mil","-1062.902mil","T","270.00","15.0 OHM 1%"
"R91","R1206","-860mil","-950mil","-860mil","-950mil","-805mil","-950mil","T","180.00","15.0 OHM 1%"
"R90","R1206","-1033.98mil","-690.884mil","-1033.98mil","-690.884mil","-978.98mil","-690.884mil","T","180.00","15.0 OHM 1%"
"R89","R1206","-1179.452mil","-430.37mil","-1179.452mil","-430.37mil","-1124.452mil","-430.37mil","T","180.00","15.0 OHM 1%"
"R88","R1206","-1230mil","30mil","-1230mil","30mil","-1175mil","30mil","T","180.00","15.0 OHM 1%"
"R69","R1206","-1034.606mil","691.302mil","-1034.606mil","691.302mil","-979.606mil","691.302mil","T","180.00","32.4 OHM 1%"
"R68","R1206","-1176.138mil","399.244mil","-1176.138mil","399.245mil","-1121.138mil","399.244mil","T","180.00","32.4 OHM 1%"
"R67","R1206","-549.938mil","1115.166mil","-549.939mil","1115.166mil","-549.938mil","1060.166mil","T","90.00","32.4 OHM 1%"
"R66","R1206","-870mil","950mil","-870mil","950mil","-815mil","950mil","T","180.00","32.4 OHM 1%"
"R65","R1206","81.632mil","1245.448mil","81.631mil","1245.447mil","81.632mil","1190.448mil","T","90.00","32.4 OHM 1%"
"R64","R1206","-243.142mil","1222.364mil","-243.143mil","1222.363mil","-243.142mil","1167.364mil","T","90.00","32.4 OHM 1%"
"R63","R1206","654.822mil","1039.876mil","654.822mil","1039.875mil","654.822mil","984.876mil","T","90.00","32.4 OHM 1%"
"R62","R1206","401.058mil","1181.478mil","401.058mil","1181.478mil","401.058mil","1126.478mil","T","90.00","32.4 OHM 1%"
"R61","R1206","1122.416mil","553.514mil","1122.417mil","553.515mil","1067.416mil","553.514mil","T","360.00","32.4 OHM 1%"
"R60","R1206","1050mil","840.001mil","1050mil","840mil","995mil","840.001mil","T","360.00","32.4 OHM 1%"
"R59","R1206","1250mil","-80mil","1250mil","-80mil","1195mil","-80mil","T","360.00","32.4 OHM 1%"
"R58","R1206","1225mil","245mil","1225mil","245mil","1170mil","245mil","T","360.00","32.4 OHM 1%"
"R57","R1206","-1220mil","280mil","-1220mil","280mil","-1165mil","280mil","T","180.00","15.0 OHM 1%"
"R56","R1206","-1115.826mil","550.264mil","-1115.828mil","550.265mil","-1060.826mil","550.264mil","T","180.00","15.0 OHM 1%"
"R55","R1206","-936.19mil","821.016mil","-936.19mil","821.017mil","-881.19mil","821.016mil","T","180.00","15.0 OHM 1%"
"R54","R1206","-690.486mil","1033.386mil","-690.486mil","1033.384mil","-690.486mil","978.386mil","T","90.00","15.0 OHM 1%"
"R53","R1206","-399.654mil","1177.34mil","-399.653mil","1177.34mil","-399.654mil","1122.34mil","T","90.00","15.0 OHM 1%"
"R52","R1206","-80mil","1245mil","-80mil","1245mil","-80mil","1190mil","T","90.00","15.0 OHM 1%"
"R51","R1206","243.526mil","1224.296mil","243.527mil","1224.296mil","243.526mil","1169.296mil","T","90.00","15.0 OHM 1%"
"R50","R1206","552.662mil","1120.688mil","552.662mil","1120.688mil","552.662mil","1065.688mil","T","90.00","15.0 OHM 1%"
"R49","R1206","760mil","1040mil","760mil","1040mil","760mil","985mil","T","90.00","15.0 OHM 1%"
"R48","R1206","1040.712mil","695.38mil","1040.712mil","695.381mil","985.712mil","695.38mil","T","360.00","15.0 OHM 1%"
"R47","R1206","1187.13mil","402.978mil","1187.131mil","402.977mil","1132.13mil","402.978mil","T","360.00","15.0 OHM 1%"
"R46","R1206","1249.678mil","81.908mil","1249.679mil","81.908mil","1194.678mil","81.908mil","T","360.00","15.0 OHM 1%"
"R28","R0805","1980.001mil","360mil","1980mil","360mil","2017.001mil","360mil","T","180.00","1.0k 1%"
